index	name	ui_name	r	g	b	density
0	DEFAULT	Default	255	0	255	1750.0
1	CONCRETE	Concrete	145	145	145	7850.5
2	CONCRETE_POTHOLE	Concrete Pothole	145	145	145	4900.0
3	CONCRETE_DUSTY	Concrete Dusty	145	140	130	7850.5
4	TARMAC	Tarmac	90	90	90	6300.0
5	TARMAC_PAINTED	Tarmac Painted	90	90	90	6300.0
6	TARMAC_POTHOLE	Tarmac Pothole	70	70	70	4900.0
7	RUMBLE_STRIP	Rumble Strip	90	90	90	6300.0
8	BREEZE_BLOCK	Breeze Block	145	145	145	7000.0
9	ROCK	Rock	185	185	185	7000.0
10	ROCK_MOSSY	Rock Mossy	185	185	185	7000.0
11	STONE	Stone	185	185	185	7000.0
12	COBBLESTONE	Cobblestone	185	185	185	7000.0
13	BRICK	Brick	195	95	30	7000.0
14	MARBLE	Marble	195	155	145	8970.5
15	PAVING_SLAB	Paving Slab	200	165	130	7000.0
16	SANDSTONE_SOLID	Sandstone Solid	215	195	150	8130.5
17	SANDSTONE_BRITTLE	Sandstone Brittle	205	180	120	5075.0
18	SAND_LOOSE	Sand Loose	235	220	190	5047.0
19	SAND_COMPACT	Sand Compact	250	240	220	5950.0
20	SAND_WET	Sand Wet	190	185	165	6727.0
21	SAND_TRACK	Sand Track	250	240	220	5775.0
22	SAND_UNDERWATER	Sand Underwater	135	130	120	5775.0
23	SAND_DRY_DEEP	Sand Dry Deep	110	100	85	5047.0
24	SAND_WET_DEEP	Sand Wet Deep	110	100	85	6727.0
25	ICE	Ice	200	250	255	3216.5
26	ICE_TARMAC	Ice Tarmac	200	250	255	3216.5
27	SNOW_LOOSE	Snow Loose	255	255	255	560.0
28	SNOW_COMPACT	Snow Compact	255	255	255	1683.5
29	SNOW_DEEP	Snow Deep	255	255	255	560.0
30	SNOW_TARMAC	Snow Tarmac	255	255	255	6300.0
31	GRAVEL_SMALL	Gravel Small	255	255	255	6727.0
32	GRAVEL_LARGE	Gravel Large	255	255	255	5887.0
33	GRAVEL_DEEP	Gravel Deep	255	255	255	6727.0
34	GRAVEL_TRAIN_TRACK	Gravel Train Track	145	140	130	6727.0
35	DIRT_TRACK	Dirt Track	175	160	140	4550.0
36	MUD_HARD	Mud Hard	175	160	140	5327.0
37	MUD_POTHOLE	Mud Pothole	105	95	75	4200.0
38	MUD_SOFT	Mud Soft	105	95	75	6055.0
39	MUD_UNDERWATER	Mud Underwater	75	65	50	6055.0
40	MUD_DEEP	Mud Deep	105	95	75	6055.0
41	MARSH	Marsh	105	95	75	6055.0
42	MARSH_DEEP	Marsh Deep	105	95	75	6055.0
43	SOIL	Soil	105	95	75	5047.0
44	CLAY_HARD	Clay Hard	160	160	160	6111.0
45	CLAY_SOFT	Clay Soft	160	160	160	3755.5
46	GRASS_LONG	Grass Long	130	205	75	4900.0
